"","gene_short_name","value_1","value_2"
"1083","Desat2",11.494,26.3539
"1084","CG32052,Ilp1",0.800257,1.83449
"1085","Jon99Ci",7.00747,16.0505
"1086","sm",6.59147,15.0902
"1087","CG7789",46.3199,106
"1088","CG14341",59.6983,136.578
"1089","Wnt6",2.29712,5.25523
"1090","CG46244,Lar",26.7879,61.2642
"1091","CR44645",3.49972,7.99817
"1092","CG15611",3.33048,7.6103
"1093","CG18507",3.63123,8.29646
"1094","CG11180",162.751,371.755
"1095","Rh6",9.63202,21.9988
"1096","CG4467",2.8074,6.41156
"1097","Wdr62",242.936,554.494
"1098","pio",2.89334,6.60374
"1099","CR45361",1.4014,3.19781
"1100","CR45994",31.8568,72.681
"1101","drl",1.98999,4.53584
"1102","Tsp",1.39984,3.18937
"1103","CG7920",148.653,338.453
"1104","CG14543",105.334,239.724
"1105","Mdh1",292.297,665.042
"1106","cype",817.657,1859.69
"1107","CG4537",34.3699,78.1129
"1108","Alas",629.193,1429.94
"1109","Tps1",52.4052,118.965
"1110","Ggamma30A",23.5081,53.3153
"1111","CG6724",11.5624,26.2009
"1112","Nup93-2",18.3429,41.5315
"1113","CG7849",9.97615,22.5839
"1114","Pde6",16.2943,36.8588
"1115","Nlg3",1.27145,2.87532
"1116","CG32856",42.854,96.9043
"1117","agt",111.918,253.066
"1118","Pka-C3",35.0516,79.2058
"1119","CG8654",3.45088,7.79721
"1120","CG11151",960.205,2166.24
"1121","Ance-4",1.20309,2.71419
"1122","Cyp4d21",0.910345,2.05351
"1123","ND-B14.5B",210.532,474.489
"1124","CG14830",2.62913,5.92529
"1125","vkg",2.85575,6.43211
"1126","CG31176",3.59472,8.09388
"1127","kek1",8.53832,19.2191
"1128","PPP4R2r",104.338,234.834
"1129","Dat",38.5344,86.7075
"1130","CG6356",7.81942,17.5856
"1131","SRPK",139.441,313.292
"1132","Rnp4F",241.32,541.927
"1133","Prosap,Rcd1",77.862,174.842
"1134","Drat",349.274,783.982
"1135","CG34200",300.667,674.699
"1136","Jheh1",10.5625,23.6321
"1137","CG4847",6.8318,15.2732
"1138","CG6712",70.7197,158.02
"1139","mid",1.09213,2.43957
"1140","Bace",44.4285,99.2076
"1141","CG17928",10.5934,23.6324
"1142","CG14669",0.914846,2.03978
"1143","Gug",289.719,645.481
"1144","Gfrl",2.86349,6.37227
"1145","ben",601.422,1338.33
"1146","CG1142",47.827,106.325
"1147","CG14439",2.02827,4.50899
"1148","luna",7.46516,16.5924
"1149","Ppa",28.6129,63.4984
"1150","mRpL34",147.368,327
"1151","Gip",67.701,150.134
"1152","bt",121.965,270.36
"1153","CG1427",10.347,22.9199
"1154","FKBP59",436.564,966.812
"1155","CG17841",136.803,302.916
"1156","CG13751",172.33,381.56
"1157","CG8586",4.11857,9.11612
"1158","AIMP1",130.901,289.422
"1159","ND-B14.7",141.73,313.362
"1160","CG2862",433.637,957.247
"1161","Ppox",20.4773,45.2017
"1162","CG7277",66.0986,145.906
"1163","CG15908",62.1431,137.15
"1164","caix",3.29707,7.27129
